,nifty50_NIFTY50,nse_sectoral_NIFTYBANK,nse_sectoral_NIFTYIT,nse_sectoral_NIFTYPHARMA,nse_sectoral_NIFTYFMCG,nse_sectoral_NIFTYAUTO,nse_sectoral_NIFTYREALTY,nse_sectoral_NIFTYFINNIFTY,nse_sectoral_NIFTYMETAL,nse_sectoral_NIFTYENERGY,nse_sectoral_NIFTYINFRA,nse_sectoral_NIFTYMIDCAP100,bse_SENSEX,commodities_GOLD_INR_ETF,commodities_SILVER_INR_ETF,commodities_GOLD_USD_FUT,commodities_SILVER_USD_FUT,commodities_CRUDE_WTI,commodities_CRUDE_BRENT,commodities_USDINR,etfs_ETF_NIFTY50,etfs_ETF_NIFTYBANK,etfs_ETF_NIFTYIT,etfs_ETF_GOLD,etfs_ETF_SILVER,etfs_ETF_LIQUID,etfs_ETF_GILT,etfs_ETF_MOTILAL_NIFTY50,cpi_CPI_FRED_CPI_Index,cpi_CPI_FRED_CPI_MoM,cpi_CPI_FRED_CPI_YoY,cpi_Bond_Yield_India_10Y_Yield,repo_rate_repo_rate
etfs_ETF_NIFTY50,0.03189889346264362,0.04306063319177068,0.021991091914957735,0.012321495060446391,0.015775493108563778,0.029604346122313586,0.04501004699747933,0.0320269611535696,0.033637009499723675,0.027241719287779027,0.03024029083813843,0.03538390204362461,0.03166064572109241,-0.003220637547227354,-0.00010542362114784339,0.003892961869406051,0.014988406900090248,0.012526829960422006,0.012607624288541935,-0.007463343152298052,0.031176021555899984,0.0434016104735428,0.017947320712175373,-0.003220637547227354,-0.00010542362114784339,-3.817577984959254e-05,0.0015306371402492424,0.007498709449652892,0.0007797734290380846,-0.011362750950923522,0.00999784417506314,-0.001361444565931072,-0.0010457140991875053
etfs_ETF_NIFTYBANK,0.04453543073242887,0.07364852931084089,0.018436401461610998,0.008478987223613507,0.018369668919527137,0.04019487193644979,0.06798621272898933,0.052876516651640004,0.04954980722055083,0.03670694777206218,0.04363106662867433,0.05238672193164737,0.04419550393746885,-0.006033764108132616,0.0031819242715455556,0.0037969041698491064,0.01858046715198857,0.01531066228839911,0.018087588214097172,-0.011692886469075108,0.0434016104735428,0.07448677877009169,0.006016765789895354,-0.006033764108132616,0.0031819242715455534,-9.407419520402607e-05,0.0018952836058979752,0.0045083289205081235,0.0008495514285287378,0.0448641856573639,0.012220197535619207,-0.0019808420799574174,9.681815060552993e-05
etfs_ETF_NIFTYIT,0.0180786066680402,0.00625534032735179,0.0556531028520829,0.017140561544267602,0.014394721264003457,0.009219345846251052,0.021718607611104855,0.009349402029379401,0.013338704548410608,0.009963200696115245,0.012960123161363826,0.018918446194697416,0.018527523935406968,-0.0024727997391053467,0.0048089303771529516,0.0005745993420580209,0.0033310960497805924,-0.0045261841669430635,-0.0052568065966281455,-0.0020709348897998622,0.017947320712175373,0.006016765789895354,0.055602842985258846,-0.0024727997391053467,0.0048089303771529516,1.5777784754671925e-05,0.0009298018833552264,0.019282313411819185,0.0005737710620057371,-0.03053258358287867,-0.013970921082320224,-0.0031139325184380935,0.0009102915610291434
etfs_ETF_GOLD,-0.00318129882005106,-0.006218182059796207,-0.0013693468953077542,0.0017059267504327584,-0.004145263028484288,-0.00318822567482936,-0.009846091503443405,-0.004182863587079671,0.000373403739174573,-0.004465989274887715,-0.005125087919451286,-0.004385473597011536,-0.0031987924332721354,0.02281005087808513,0.041505162427318,0.019816448943723978,0.027310657695552482,-0.003319813010059715,-0.0001619832920558865,0.0018634529621866162,-0.003220637547227354,-0.006033764108132616,-0.0024727997391053467,0.02281005087808513,0.041505162427318,-8.991932177019795e-05,0.00027801000509941956,0.0015866581316715585,-8.299731750243956e-05,-0.11017503133809192,0.0031499037419394473,0.0009625072604100124,-0.00036088424808409917
etfs_ETF_SILVER,-5.539603005108023e-05,0.0032361759897963577,0.004050178046906557,-0.008831171649197497,-0.008313759433087774,-0.0031335580893788145,-0.010010205887628819,0.001839655173619734,0.03671877264541404,0.0026569719367208625,-0.0023423773281442545,-0.001812298556671802,-0.0015883683222334155,0.041505162427318,0.11442639230389581,0.030825027208643493,0.08612890374673474,-0.004261759202662148,-0.010843391894103212,0.0009115084808436606,-0.00010542362114784339,0.0031819242715455534,0.0048089303771529516,0.041505162427318,0.11442639230389581,-0.00026717760912646054,-0.0010953548755249353,0.006680442782180558,-0.00022457809328988668,-0.31157163816793215,0.020328898534279435,0.002122628978165796,0.0011293530581249348
etfs_ETF_LIQUID,-3.925022001739154e-05,-8.433396391328771e-05,-2.5925430275138757e-05,-2.110495343887924e-05,-4.547664042819832e-05,1.0727308983790618e-05,8.15970217989955e-05,-5.790281710600321e-06,-4.6792309355576605e-05,1.7104676614984185e-05,7.294056304454839e-05,-5.721667599259069e-05,-3.743076743446388e-05,-8.991932177019795e-05,-0.00026717760912646054,-7.106142409421323e-05,-0.0002114623242486787,-0.00029496224789672654,-0.00031588471464775135,1.9912159152206965e-05,-3.817577984959254e-05,-9.407419520402607e-05,1.5777784754671925e-05,-8.991932177019795e-05,-0.00026717760912646054,3.7271111113161874e-05,1.9123312258017894e-05,6.5105646568584015e-06,-2.0043837202158515e-05,-0.003201040376421809,-6.944586796393629e-05,-2.473813954100577e-05,-6.467799894146399e-05
etfs_ETF_GILT,0.0015496356035801624,0.0019416128222659963,0.0009260758372119411,0.0009577596199130253,0.0014103622676714782,0.0010742451863761018,0.0024322935596408544,0.0020077314567870943,0.0015614599229736748,0.001027012697825195,0.0013452532425399055,0.0015045626341697186,0.001575667213866689,0.00027801000509941956,-0.0010953548755249353,0.0008455212526156694,0.0002057377792000048,-0.004968886430822045,-0.005406339576415826,-0.00039514589515436585,0.0015306371402492424,0.0018952836058979752,0.0009298018833552264,0.00027801000509941956,-0.0010953548755249353,1.9123312258017894e-05,0.0006738279346985071,0.0009608784453994219,-0.00011071523856398745,-0.03033655118086351,-0.002721530788570641,-0.0007755698553909172,-0.00011802351299823314
etfs_ETF_MOTILAL_NIFTY50,0.007723867694482736,0.00507277335545348,0.01884439962581598,0.01202159210088823,0.006156382103234898,0.007458851556157905,0.009965695102688653,0.005275013996957172,0.018710965607645146,0.007352554722624442,0.003539516429622124,0.009012701366822005,0.007987144410896662,0.0015866581316715585,0.006680442782180558,-0.0007711427793390535,0.008523697408000876,0.019436641958395888,0.01569986217948047,0.0017538507732860328,0.007498709449652892,0.0045083289205081235,0.019282313411819185,0.0015866581316715585,0.006680442782180558,6.5105646568584015e-06,0.0009608784453994219,0.05039929782297682,0.0006796252742864592,-0.13514752828772153,0.0034204739583959965,0.0009667926742755906,-0.0016923496003724355
cpi_CPI_FRED_CPI_Index,0.0006036797079198662,0.0005965215927643249,0.001092364627420202,0.0008992078508404957,0.0006054978974887046,0.0008022212258343127,0.0006918292276796831,0.000991072285182681,0.0001825300501308671,0.0009104350710413356,0.00045355169563806674,0.0004284079072014934,0.00014416017701495058,-8.299731750243956e-05,-0.00022457809328988668,-0.0005259191190384888,-0.0005846946915625285,3.887214920471792e-05,0.0003088107782019948,0.00012030717516895097,0.0007797734290380846,0.0008495514285287378,0.0005737710620057371,-8.299731750243956e-05,-0.00022457809328988668,-2.0043837202158515e-05,-0.00011071523856398745,0.0006796252742864592,0.0006291572725375729,0.06296528988570935,0.005919753147007229,3.7636868509154525e-05,0.0005732450715698407
cpi_CPI_FRED_CPI_MoM,-0.03447609623606443,0.022528414157658227,-0.077395695959499,-0.013927504694593753,0.019471598314037754,0.13416767310571215,-0.02595121816428505,0.05203197494873862,-0.1897838836133421,-0.02293189616824186,-0.01746681377599431,-0.023870840100355024,-0.059151290174996624,-0.11017503133809192,-0.31157163816793215,-0.18406692621459186,-0.23443844325439142,-0.1261686571137647,-0.0623591417217787,0.014169433328748943,-0.011362750950923522,0.0448641856573639,-0.03053258358287867,-0.11017503133809192,-0.31157163816793215,-0.003201040376421809,-0.03033655118086351,-0.13514752828772153,0.06296528988570935,33.63621179871239,0.27727224542556445,-0.035111418654431424,-0.008066819760376038
cpi_CPI_FRED_CPI_YoY,0.0041057964956649606,0.0041330970515325366,0.0029768344859087857,0.002295795157121753,-0.0006193293272981645,0.007639213842701725,0.019789651586724855,0.013300161223256928,0.017768267051728643,0.021744792112434252,0.007253353895772464,0.005525182050564069,-0.003159615464878035,0.0031499037419394473,0.020328898534279435,-0.0009768123992969081,0.0005022743631427143,-0.002315359328031781,0.008268413121568523,-0.0010440898955740624,0.00999784417506314,0.012220197535619207,-0.013970921082320224,0.0031499037419394473,0.020328898534279435,-6.944586796393629e-05,-0.002721530788570641,0.0034204739583959965,0.005919753147007229,0.27727224542556445,0.2814147648230235,0.006340536861905827,0.0077650268362814846
cpi_Bond_Yield_India_10Y_Yield,-0.0012658929478047724,-0.0018378089419091254,-0.0005602490033485493,-0.0015312647835418465,-0.0010536607392241143,-0.000365681180720999,-0.0036951347736042485,-0.0019591236487762446,0.0002159233696519273,-0.00048120604488678073,-0.0020742659669592076,-0.0016033528502304704,-0.0011669367626629492,0.0009625072604100124,0.002122628978165796,-0.00035364437770285767,-0.0012161215717844793,-0.0033706170252780143,0.0013335009821044443,0.0007837456934302986,-0.001361444565931072,-0.0019808420799574174,-0.0031139325184380935,0.0009625072604100124,0.002122628978165796,-2.473813954100577e-05,-0.0007755698553909172,0.0009667926742755906,3.7636868509154525e-05,-0.035111418654431424,0.006340536861905827,0.00659975806890263,0.00042796181169059487
repo_rate_repo_rate,-0.002098769805414854,-0.0022350895669669864,-0.0013842574526224775,0.003979532313577693,-0.0003188656853059941,0.0012396759558661603,0.00020565506024808542,0.0016414180506467706,-9.084524284023592e-05,0.0026100507502581456,0.0005687687805370096,-0.002960472855649076,-0.0017616273295759856,-0.00036088424808409917,0.0011293530581249348,-0.0009041434591116464,-0.0008022970916025905,0.001837519232233382,0.0041357335419162,-0.0002823393585560287,-0.0010457140991875053,9.681815060552993e-05,0.0009102915610291434,-0.00036088424808409917,0.0011293530581249348,-6.467799894146399e-05,-0.00011802351299823314,-0.0016923496003724355,0.0005732450715698407,-0.008066819760376038,0.0077650268362814846,0.00042796181169059487,0.0459115931785421
